P,C,Q,items,run,time_s,throughput
1,1,256,200000,1,0.110721,1806344.51
1,1,256,200000,2,0.048074,4160287.56
1,1,256,200000,3,0.049734,4021397.45
1,1,256,200000,4,0.055523,3602083.59
1,1,256,200000,5,0.050144,3988499.64
1,1,1024,200000,1,0.043908,4554949.75
1,1,1024,200000,2,0.051835,3858430.33
1,1,1024,200000,3,0.045066,4437936.95
1,1,1024,200000,4,0.057891,3454778.47
1,1,1024,200000,5,0.058734,3405157.99
1,1,4096,200000,1,0.043837,4562370.15
1,1,4096,200000,2,0.044886,4455687.73
1,1,4096,200000,3,0.045593,4386673.32
1,1,4096,200000,4,0.049927,4005867.15
1,1,4096,200000,5,0.047490,4211374.53
1,2,256,200000,1,0.235989,847495.85
1,2,256,200000,2,0.417165,479426.97
1,2,256,200000,3,0.312361,640284.99
1,2,256,200000,4,0.362973,551004.82
1,2,256,200000,5,0.342888,583281.63
1,2,1024,200000,1,0.273808,730439.31
1,2,1024,200000,2,0.184574,1083577.42
1,2,1024,200000,3,0.244069,819440.27
1,2,1024,200000,4,0.258348,774148.87
1,2,1024,200000,5,0.248362,805277.20
1,2,4096,200000,1,0.216917,922011.52
1,2,4096,200000,2,0.185574,1077737.29
1,2,4096,200000,3,0.256574,779501.93
1,2,4096,200000,4,0.285357,700877.52
1,2,4096,200000,5,0.151286,1322002.13
1,4,256,200000,1,0.588401,339904.46
1,4,256,200000,2,0.887156,225439.58
1,4,256,200000,3,0.954737,209481.83
1,4,256,200000,4,0.648599,308356.94
1,4,256,200000,5,0.620163,322495.76
1,4,1024,200000,1,0.385769,518444.46
1,4,1024,200000,2,0.371482,538383.63
1,4,1024,200000,3,0.380568,525529.91
1,4,1024,200000,4,0.617603,323832.47
1,4,1024,200000,5,0.551940,362358.08
1,4,4096,200000,1,0.767423,260612.46
1,4,4096,200000,2,0.393261,508567.66
1,4,4096,200000,3,0.653058,306251.74
1,4,4096,200000,4,0.464774,430317.11
1,4,4096,200000,5,0.540887,369763.28
2,1,256,200000,1,0.635604,629322.45
2,1,256,200000,2,1.014475,394292.63
2,1,256,200000,3,0.785936,508947.09
2,1,256,200000,4,1.021784,391472.27
2,1,256,200000,5,0.766246,522025.80
2,1,1024,200000,1,0.392570,1018927.41
2,1,1024,200000,2,0.375469,1065334.04
2,1,1024,200000,3,0.377201,1060442.26
2,1,1024,200000,4,0.344318,1161718.22
2,1,1024,200000,5,0.437812,913633.68
2,1,4096,200000,1,0.303690,1317131.90
2,1,4096,200000,2,0.331843,1205389.26
