threads,ops,write_ratio,mode,run,time_s,throughput
1,100000,0.1,0,1,0.004133,24195973.84
1,100000,0.1,0,2,0.004062,24618123.67
1,100000,0.1,0,3,0.004180,23921676.60
1,100000,0.1,1,1,0.006063,16493346.34
1,100000,0.1,1,2,0.007645,13080484.09
1,100000,0.1,1,3,0.012230,8176405.62
1,100000,0.3,0,1,0.022350,4474276.93
1,100000,0.3,0,2,0.021597,4630320.53
1,100000,0.3,0,3,0.028163,3550780.91
1,100000,0.3,1,1,0.027887,3585925.44
1,100000,0.3,1,2,0.027182,3678869.56
1,100000,0.3,1,3,0.025131,3979175.86
1,100000,0.5,0,1,0.026316,3800021.01
1,100000,0.5,0,2,0.026596,3760030.21
1,100000,0.5,0,3,0.026376,3791310.50
1,100000,0.5,1,1,0.018525,5398230.14
1,100000,0.5,1,2,0.012299,8130439.57
1,100000,0.5,1,3,0.008240,12136001.86
2,100000,0.1,0,1,0.027418,7294517.46
2,100000,0.1,0,2,0.025709,7779351.45
2,100000,0.1,0,3,0.036009,5554091.13
2,100000,0.1,1,1,0.239531,834963.55
2,100000,0.1,1,2,0.094399,2118656.37
2,100000,0.1,1,3,0.116820,1712038.37
2,100000,0.3,0,1,0.028440,7032256.82
2,100000,0.3,0,2,0.026995,7408838.41
2,100000,0.3,0,3,0.027603,7245553.55
2,100000,0.3,1,1,0.093250,2144779.16
2,100000,0.3,1,2,0.062139,3218574.94
2,100000,0.3,1,3,0.082772,2416264.21
2,100000,0.5,0,1,0.032428,6167430.25
2,100000,0.5,0,2,0.035052,5705753.98
2,100000,0.5,0,3,0.031618,6325433.56
2,100000,0.5,1,1,0.074854,2671875.61
2,100000,0.5,1,2,0.079346,2520608.56
2,100000,0.5,1,3,0.070139,2851476.57
4,100000,0.1,0,1,0.043512,9192846.69
4,100000,0.1,0,2,0.050181,7971194.49
4,100000,0.1,0,3,0.046263,8646274.24
4,100000,0.1,1,1,0.228362,1751603.16
4,100000,0.1,1,2,0.178068,2246332.00
4,100000,0.1,1,3,0.230092,1738438.61
4,100000,0.3,0,1,0.061739,6478840.54
4,100000,0.3,0,2,0.065138,6140764.25
4,100000,0.3,0,3,0.065040,6150106.61
4,100000,0.3,1,1,0.157998,2531679.65
4,100000,0.3,1,2,0.156426,2557121.61
4,100000,0.3,1,3,0.171444,2333119.24
4,100000,0.5,0,1,0.076884,5202639.09
4,100000,0.5,0,2,0.081500,4907985.70
4,100000,0.5,0,3,0.081159,4928576.97
4,100000,0.5,1,1,0.151258,2644493.33
4,100000,0.5,1,2,0.144969,2759214.99
4,100000,0.5,1,3,0.153188,2611167.89
8,100000,0.1,0,1,0.106361,7521544.26
8,100000,0.1,0,2,0.120455,6641486.19
8,100000,0.1,0,3,0.126748,6311748.68
8,100000,0.1,1,1,0.508085,1574539.48
8,100000,0.1,1,2,0.538389,1485914.08
8,100000,0.1,1,3,0.561381,1425056.41
8,100000,0.3,0,1,0.172705,4632172.10
8,100000,0.3,0,2,0.158008,5063042.51
8,100000,0.3,0,3,0.191134,4185540.88
8,100000,0.3,1,1,0.462377,1730188.57
8,100000,0.3,1,2,0.503999,1587303.32
8,100000,0.3,1,3,0.541029,1478663.09
8,100000,0.5,0,1,0.193876,4126346.01
8,100000,0.5,0,2,0.223272,3583080.06
8,100000,0.5,0,3,0.232891,3435083.96
8,100000,0.5,1,1,0.458637,1744299.43
8,100000,0.5,1,2,0.478276,1672675.84
8,100000,0.5,1,3,0.476356,1679417.82
